Class Index,Text
0,"for everyone else , two hours of dahmer 's absence is only a punishment ."
1,"the grey haired , silver haired and leonine harris , who is an ageing sandeman , has a tragic dimension and a fierce , full bodied wit and cunning ."
0,the fact that people are making films and looking at them
0,a frighteningly graphic . . .
0,"the clumsy violence overshadows all , including most of the actors ."
0,on the other side of the river
0,in the cab
0,in the end
1,mike white 's eye catching combination of a serious subject matter and a dark humor and a good girl 's worth a look .
1,"fun and fun , too aggressive ."
1,display original talents .
1,"most of all , the work captures the humor , warmth and intelligence of an interesting life ."
0,"like a credible gender based philosophy , but what the hell is going on ?"
1,"great action , great acting , great dialogue ."
1,moments and subtlety .
1,full of ideas .
0,"86 minutes of familiar , poorly designed comedy"
1,his sensitivity to a sensitive subject matter .
1,great talent !
0,with a chill
1,a lot of surprises .
1,sweat !
0,from a distance i felt a waste of this slapstick comedy . . .
0,"with a small , small joke and no original idea . . ."
1,good natured .
1,rich colors and creativity .
1,found his audience .
0,a surprisingly boring ending
0,the sense of spectators and not participants
0,on the superficial !
1,visual charm !
0,a film that is clumsy and cumbersome
1,look at the movie .
1,garcia bernal and talancana are an immensely attractive pair .
1,a surprise twist in the plot .
1,inventive fun !
0,like an asshole and an insult to big films
1,recharged him .
1,bitter curiosity .
0,"of course you 're going to be bored when you look at morvern callar , like characters in his books"
1,"sensual , funny and touching !"
0,a terrible late charge
1,his bizarre sense of humor and technological end .
1,such an engaging character .
0,"in the daytime we focused on elements of a disturbing alienation between cultures , which sadly are in hostile conflict with each other by negligence and retaliation ."
0,for an audience that 's so hard to understand
0,on a burnt film it 's not worth the price .
0,for sale
0,a clear copy
1,presentation of homosexual relationships in an adult and frank way .
1,"a funny , charming and quirky comedy that debuted as amy ."
1,care . . . attention .
0,the lace
0,"with all this drunken indulgence , which is worst for other talented actors . . ."
0,"on the other hand , you could rent the films and not even look for a new one ."
1,real film .
1,looks like their surroundings strength .
1,nice words with metaphors .
1,a pleasant continuation of the surprising family of 1994 .
1,a hell of a lot of fun .
0,"a brief , but small emotional resonance"
0,costumes of gianni versace and mad love are better than they look .
1,a wild comedy that can only come from a madman 's head .
1,a wise visitor from a distant planet .
1,puts together japanese talent with impressive results .
1,provoke an internal reflection of its characters and viewers .
0,in his debut ( clooney ) he can be accused of being somewhat disciplined
1,a cast of british actors .
1,an influential young actor in twenty two .
1,everyone needs a playful break from the daily grind and refreshment .
0,a complete misunderstanding
1,knowledge of storytelling .
1,a '' within range .
1,at the very least we have something that 's damn close .
0,a flakeball dependent on therapy
1,a mediocre film can be distinguished from an excellent film by the fact that it can bring an interesting subject to those who do not belong to its intended target audience .
0,without the scariness
1,"fun , though ultimately minor ."
1,beautiful .
1,"vivid , thoughtful , unapologetic raw coming of age ."
1,a forest creek .
0,"in fact , 170 per cent"
1,inspiring and inspiring .
1,hero 's performance .
0,for fuck 's sake
1,a bit of satisfaction .
0,unlikeable in nature
0,"in comparison with other recent war films , or . . ."
1,"spider man not only delivers , but he seems to be delivering again ."
1,real pleasure !
1,the original fantasy movie .
0,at the very least he 's not afraid .
0,"for a long time to heal . . . a welterweight in the belly of johnny knoxville caused by a gunfight , or my tortured soul ."
1,increase the value of the film gangster no 1 .
0,"with a lot of secrets , one of them is . . ."
1,a demonstration of what great cinema can do .
0,over the haplessness of george and lucy . . .
1,chabrol 's smallest work .
0,"for example , you might be asking why you 're buying milk for a movie when you have a free television cow ."
1,holofcener 's deep and uncompromising curtsy to the women he knows .
1,handsome .
0,without a damn thing
0,over 1 000 times
0,inarticulate
1,few things in the world are complex .
1,the german film industry ca n't make a good joke about food .
0,about what could happen
1,"the best of all is garcia , who perfectly captures the despair of an extremely uncertain man ."
0,with some weirdness
1,an impressive style of camera .
1,surprising refreshing !
1,gratitude . . . gratitude .
0,sucks !
0,without confidence in laughter
0,without an actor saving him .
1,the dragons are the real stars of fire control .
0,.
1,sure hands .
0,in this stupid low cost endeavor
1,here 's the place .
1,a world of models and barbershop dancers .
1,finally he 's kind of warmed up .
1,such a great deal of energy combined with perfect acting and impeccable cinematography .
0,"with an arrogant , condescending smile he walks past the mess with an apparent kilt , and with one hand he carries a bag of golf clubs ."
1,the combination of science fiction and film noir and action films led to a philosophical inquiry .
1,all the usual spielberg tricks .
1,a very strong topic .
0,in wangu
0,under the control of corrupt and hedonistic weasels
1,a sober and powerful document .
1,spielberg 's vision of the near future america is admirable .
1,watch out . it 's a nice performance from a quintet of actresses .
0,"in a movie that 's trying to make a point , a little silly ."
1,all of a sudden i felt strangely moved by even the finest and most twisted tricks .
0,"he throws his hands and gives up , firing people from r and d and deciding he 's gon na keep an eye on the master of disguise 24 ."
0,"by the way , no one in his right mind would have thought of such a thing as a movie . . ."
0,without a lot of sales but
1,a strong and celebratory payoff .
0,a disguise that this is a bad summer movie
0,"despite its sincerity , the rise itself does not justify its existence ."
0,a name that scares every sane person to death .
1,a crowd below seven .
0,a strange horror
1,works at all levels .
0,"in a way that sounds too loud , too much fun , and so little attention span . . ."
0,the panic
1,"a strange drama set in a midwest midwest where there were models and ballerinas , whose interest intrigued me precisely because they were not trying ."
1,better .
0,a terrible sound
1,the rest of the cast is great .
0,"at the very least , the filmmakers had no idea what kind of film they were going to film ."
1,his most daring and complicated performance .
1,"clever , sarcastic and extremely charming ."
0,for a lot less
0,"in the film , dong does not seek to gain insight into the subtlety of the dynamic he is dissecting , and the film is too easily mixed with the contours of expectations ."
1,compressed features and deep humanity .
0,against the horror of being slimmed down for art
1,"lee 's amazingly compelling is the main source of brown 's struggle with black masculinity in restrictive and chaotic america , which is a sketchy , but gripping portrait of jim brown , a celebrated wonder in the spotlight ."
0,"like a bored morvern callar , who 's like characters in him"
1,"an amazing , deeply disturbing experience ."
1,mood full of joy .
0,"journalistic dubious , incompetent"
0,"like a perfect postcard too perfect , too perfect for a new kind of pin up"
0,the noise and the boring
1,"lust for quality and nostalgia , a twisty tale that keeps them guessing ."
0,about two dead bodies and barely any laughing .
1,look 'cause it 's a theater .
1,"grant , who has not lost a bit of his dry humor , which has since earned the admiration of both sides of the atlantic for the first time ."
1,quinn ( who 's ) a leather haired ruffian with hair like gandalf in the windpipe and just an amazing corblimey-luv-duckney accent .
0,the ride on an old torn carousel .
1,a lot of cheering .
0,a sense of tone and a couple of long scenes .
1,a trap in a modern maze .
1,a convincing one .
1,"no matter my doubts about the last half hour of the film , i recommend the secretary based on the great acting clinic that spader and gyllenhaal put on him ."
1,"one of the most attractive films of all time , about an otherwise terrible and frightening subject ."
0,"with 10 small indians on friday 13th we 'll have a clean and sober encounter on the set of carpenter 's ship , where you 'll find the next inevitable incarnation of love ship"
1,another way of life .
0,a twisted kind of guy
0,without the scandal and the fun
1,a sequel to hollywood .
1,the creation of a chain of relationships that will turn into a positive ( even tragic ) ending .
1,new admirers .
0,with a mistake and
1,a satisfyingly strange and interesting story .
0,"like an excruciating , excruciatingly gross comedy"
0,.
1,surprising charm .
0,in the randall wallace movie there 's no difference
0,on the crossfire
0,in some ways it 's disappointing .
0,the strangeness
0,in the end it offers nothing more than a recent schwarzenegger or stallone movie .
0,on that dvd you will find nothing to be excited about . . .
1,truest sense .
1,presentation a stern look .
1,audience members will feel as shaken as cooper 's reaction when the bullets are stopped .
1,his own transparency .
1,his sensitivity to a sensitive subject matter .
1,a lot of love .
1,the lure of even the most nervous youngsters .
1,an afternoon of dogs for a cause .
0,"in addition to taylor 's cartoonish performance , and the film 's ill intentioned assumption that hitler 's fate was created by the most random chance ."
1,animal care .
0,under the name pokémon 4ever is a frightening threat
1,bold colors !
1,schutte 's dramatic scene .
0,in the soon to be forgotten
1,"light candles , bake a cake , and do n't worry about the calories , because it 's just a nice little thing to celebrate ."
1,strong and celebratory .
1,visual spectacle .
1,"even naipaul 's original is a real masterpiece , each movie has its own languid charm ."
1,the role was almost bergman 's intensity .
1,an interesting film experience .
0,"in billy ray 's screenplay , terry george , there 's something to look forward to ."
1,constant fun .
0,with a zero rating from the film
0,a two star scenario
0,with less spice than rat meat . . .
1,technical knowledge .
0,for a balance of formulaic equations in a long running heist comedy
1,cinematography has a real visual and strong erotic spark in the most important lip reading sequence .
0,like mopping toilets
1,tools .
1,something that can easily be regarded as the best of his career .
0,those pseudo educational things
1,davis 's highly personal brand of romantic comedies is an innocent and clever breath of fresh air .
0,with immediate effect a moratorium on the blasphemous films about inspiring teachers and children who inspire heartwarming motivation
1,courage .
1,nice things .
0,"if there were bears and if they were like humans , only hairier , einstein would have lost his mind ."
0,"for a shallow , immature man who spent 110 minutes in a dungeon ."
0,without a foundation
1,a fascinating contradiction .
1,merry go round !
0,with uncompromising determination
1,burning performance .
1,dear .
1,a kind of fun that parents like having kids .
0,in a cliche
0,in humility
1,a film that 's been here so long .
1,a heartwarming and non judgmental way .
1,a pleasant 100 minutes at the cinema .
1,life .
1,kids ' needs .
1,a great festival movie .
0,a lot of tongue in cheek humor
1,"whimsical , disciplined by narratives and serious improv ."
1,touch !
0,"for stupid americans , goofy britons with cute accents are going to be fun . . ."
1,morgen and nanette burstein .
1,a funny bone .
0,like dancing rhinos
0,for avoidance
1,sensuality .
1,an eloquent and grown up voice from african american cinema .
1,arthur schnitzler .
0,without obvious joy
0,without a great distance
1,his own playful spirit and cast of games .
1,"everything seemed beautiful , desirable , even lovely ."
1,elegance and maturity !
0,like a really bad film
0,the hypothetical idea
0,so boring that even his target audience did n't talk to him at all .
1,all the ingredients needed for a great noir film .
1,construction the story .
0,the story of trying to catch us just to let it go when the time comes .
1,adequate fill your eyes .
1,highlight !
0,"with a terrible banal dialogue , a convenient , pitiful plot , superficial characters , and a somewhat boring , unimaginative pursuit of cars ."
0,his inevitable absurdities
1,quirky and fearless !
0,"on the contrary , the film should have been called 'my husband 'travis bickle '"
0,at a rapid forgettable
1,those who made their own niche in the world .
0,after a spasm
1,a movie you wo n't forget .
1,vivid and lively .
1,funny and heartless young actors .
1,intelligent observations !
0,a highly familiar scenario
0,in the fall
1,"a man whose name was woody allen once a guarantee of something new , sometimes entertaining , and usually really worthwhile ."
1,!
0,with a squirm inducing formula of fish out of the water that does n't work and goes very slowly .
1,two fascinating performances .
0,a sophomore slump in form
0,"off the beaten track , not necessarily to be better ."
1,the heart wrenching in a way that completely transcends gender .
1,sentimental scenario .
1,absolutely fun .
0,in fact it 's not both and fails in both endeavors .
1,frankness .
1,a broad vision and attention to detail bring her to the highest levels of control .
1,grant 's really funny .
0,a cheesy b movie parody
1,something completely original .
0,with an unkempt appearance
1,a full of weird situations and honest observations .
0,the resignation of director gary fleder
0,"in translation , another routine hollywood horror fest , in which a short cut accentuates the absurd assumption"
1,best next generation episodes .
1,"the power of shanghai 's ghetto , which has been documented by dana janklowicz-mann and amir mann , comes from the voices of people who have lived there since 1940 ."
1,such an honest man as prophet jack .
0,after half an hour he 's running out of steam
1,such an explosion of you 're here immediacy .
1,america 's funniest comedy ever since graffiti bridge .
0,a schticky chris rock and stubborn anthony hopkins . . .
0,nervousness
1,rock solid family fun .
1,takashi miike pushes boundaries .
0,"like a military film , but . . ."
1,the possibility of taking essentially a family dispute and putting it in a more historical context .
1,united states .
0,.
0,the boring action sequences of chan .
0,in advance of this joke
1,the faithful of eastwood .
1,classic rock music .
1,work and the first great movie of 2002 .
0,for a new movie without a necessary comic ingredient of a funny director
1,so the girl 's birthday will be the kind of stupid little movie that wo n't last long .
1,real enthusiastic show .
0,of tortured and conscientious subjects
1,fun .
1,argentine 's ' drama .
1,the best movie .
0,a real fool
1,a classic from early italian neorealism .
0,the drive by . . .
1,"colorful , energetic and sweetly whimsical ."
0,for no reason
1,vision city .
1,look at these two .
0,in myopic form
1,feeling visceral and spiritual .
1,"the fact that this man is so observant is a tribute not only to his craft , but also to his legend ."
0,"in fact , he 's going to die a slow death if there 's any indication of a bad quality of pokemon 4 ."
1,you will be cheering for her target audience .
1,an excellent team .
1,past his otherwise comic tale .
1,much better mothers and daughters .
1,nice little bit .
0,"in most of that interview , i wanted to put a piece of raw money in my ears ."
1,the divine secret of the yaju sisterhood .
1,"noble , heartwarming ."
1,the film is full of infectious enthusiasm .
1,no tension in the film .
0,"in the dark , brooding and slowly taking the central idea of a very serious nature ."
1,salvos aimed at an obvious target .
0,"with cliche , painful improbability and obscure details ."
1,love !
1,great . . . great .
1,"his modest , direct standards and undisputed results directly hit the target ."
1,ingenuity or inventiveness .
1,a soul that ca n't be denied .
1,"although i 've laughed most of the film , i ca n't come up with an effective defense of this movie as an entertainment or as an art , even if you marvel at their superhuman resistance to pain ."
0,a lot of shooting
0,'' ethnic cleansing . . .
1,no neglect of character development for a moment .
0,a terrible comic writing
1,he knows how to make an ordinary thing in a scarifying .
1,another plot .
1,"a deep reflection of what it really means to face your fears , to be a girl in the world of boys , to love a girl with a boy ."
1,"blue crush , unlike most surfing films , is a thrillingly using modern technology to entice viewers into a wave ."
1,an exciting documentary .
0,the days of steven seagal . . . ?
0,like a petri dish that 's very distinctive
1,ends the story with a surprising poignancy .
1,"end up not only satisfied , but a little touched ."
1,a thoroughly researched portrait of a man whose cheery ways and ostentatious manner were transformed into a truly human figure .
1,an excellent student at the university .
0,on the loose and unaccountable
0,from the beginning it 's bad enough to want to run out screaming
1,nothing tastes better than an asparagus salad .
1,"a very specific sensibility , which has achieved a great deal of success in developing its own film language ."
0,about condescending stereotypes that are so prevalent in movies about mental illness
0,of everything that can not stand
1,murphy 's perfect comic timing .
0,with those who try to overcome the tragedy . . .
1,great kids .
0,in has-been
0,on the easy removal of critics
0,as a sequel to escape from new york city . . .
1,big heart and often .
0,the drooling fools
0,"for a different display , a connection did not connect with me"
0,"with modern military weaponry , logic and science are mixed up in fantasy dungeons and dragons . . ."
0,"as an imaginary sport projected on the screen , loud , violent , and brainwashed ."
1,"most of all , he ensures that the saltonian sea works as well as a good noir , holding them tight and nasty ."
1,fiery lead performance .
0,a menacing atmosphere
0,"although an investigative journalist explores the attraction that crosses the line between sexual orientation , ozpetek fails to capture the true feelings of antony . . . but"
0,a lot of definitions 'time waster '
1,hours worth talking about .
0,"from the scene to the next , the supposedly funny film falls to the ground with an ugly thud ."
1,morvern callar 's new interpretation of the old saying that women are unknown .
1,glowing interview .
0,for the screenplay rejecting the happy ending
0,in addition to many sloppiness
0,at a rapid age
0,about obvious cliche
0,"not only does a thoroughly formulaic movie not only represent a perfect middle class mainstream , but it also represents the most lazy hollywood of all time ."
0,after phonetic pictures of bonded women as a divine secret of sister ya yu sisters
1,no doubt kidman is one of the best actors in the world .
0,the use of a punching bag
0,on tykwer 's surface it is not just a bad thing for kieslowski 's lyrical pessimism . . .
0,"overworked , dried talent"
0,'s laziness and hubris
0,with minimal technical magic realism
1,"spider man 's better than the summer blockbuster we 've endured last summer , which i hope sets the tone for the next great summer ."
1,a delightful comedy .
0,dejected
1,an effort worth it .
0,in a pathetic exploitation movie trying to be honest and at the same time worse .
0,"in the main plot , which is riddled with mistakes and populated by characters who are almost impossible to be interested in ."
1,unprecedented access .
1,"such intimacy , sensuality , humor , psychological self revelation ."
1,great engaging !
1,wisdom and emotion .
1,a fascinating and disturbing examination .
1,one can only conclude that hitchens ' obsession with kissinger is at the bottom of a sophisticated child 's desire to rid the world of tooth and claw .
0,"in the house you watched the film , not at the cinema ."
0,about 90 minutes of so called comedy and no laughing . . .
1,arrival early and stay late .
1,love his character .
1,mix the humor with the pathos .
0,like an idiot
0,for 90 minutes he 's trying to figure out whether a pompous pseudo intellectual kid deliberately left the university or killed himself .
1,a couple of nice twists .
1,an inspiring story .
0,a bunch of typical 20 year olds who do n't care about anything .
1,not just better than your predecessor .
1,fun and ultimately very touching .
0,with too much skew to catch up
0,a thriller that 's lazily infinite
0,"on the other hand , the wonderful first 101 minutes must not be mixed up with a botched final five ."
1,a strange and mysterious film .
1,i loved him too !
0,on the ground
0,the utterly predictable plot
1,solid foundations .
0,the curse of bad luck and premature birth . . .
1,a strangely sinister ending .
0,"in the end , the balance has shifted to a more water driven intervention over a land based drama . . ."
0,"so on friday friday 13th we have 10 indians in a clean and sober way filmed on a set of carpenter 's ship , where you 'll probably find the next inevitable incarnation of love ship ."
0,"in a pitiful , hungry , unfettered"
0,"on antwone fisher 's screenplay , which is based on the book 's antwaft ' ."
1,deserves recognition .
1,a very good show from ving rhames and wesley snipes .
1,the plot and its strong evocative mood combine strong sexuality with a haunting sense of misery .
0,like none of us
1,astonishment and fun .
1,"a good game in europe , where mr . besson is a household name , as well as in asia , where ms . shu is a socialite ."
1,"a film that imagines an epic tragedy that confronts a callous rich boy with a choice between a beautiful , satisfied 22 year old girl and a pretty , satisfied 18 year old woman ."
1,an attempt to find out why people keep looking for what they do n't have and why we 're in trouble .
0,after being slimmed for art
0,the shooting itself
0,in the sterile and in need
0,with more deja vu than awe . . .
1,a good reason to cheer for a breakthrough .
0,all credibility 's gone .
0,the stupid tv
1,a fight for vietnam .
1,an audience experience with the difficulties of writing a script .
1,"rustic , realistic and utterly terrifying ."
0,"like a strange thing , but not really scary . . ."
1,hughes comedy .
0,in disjointed
0,of course you 're not very smart
1,"real love , full of traditional layers of birth , ripening , separation and recovery ."
0,in no way memorable
0,"with heavy handed symbolism , dime store psychology and endless scenic shots , which appear twice as long as 105 minutes . . ."
0,"without a job , such as michael jackson 's nose"
1,daring and beautiful .
1,your surprise may surprise how many tones spielberg uses .
0,against himself
0,on my own this morning .
1,an effective and loving period .
1,candy pure entertainment .
1,an unmistakable stamp .
0,a deliberately low level of fraternity humor
1,fascinating .
1,"one imagines what would look like if the film , which captured the chaos in france in the 1790s , would have achieved something like this ."
1,"visual beauty , penetrating , impenetrable ."
0,a lot of jokes about women
1,fascination .
1,amazing slapstick !
0,with a lot of low
0,without the weight of a good shot in the auditorium that would have blown him off the screen . . .
0,"with vague impressions and unpleasant aftershocks , but only a vague memory of the operation 's mechanics ."
1,an oral interview with several witnesses whose riveting memories are so clear that it seems as if everything had happened yesterday .
1,anyone who does it will discover a cult favorite for the rest of their lives .
0,"with anachronistic fast reactions and occasional jarring glimpses of the modern theatre audience , which watched the unfolding events . . ."
0,"at the beginning of the hallmark hall of fame , where there are a couple of four letter words that are usually not heard on tv"
0,a worse case
1,original inspiration .
1,"if the oscars had a category for the worst bad movie , which you would have thought would be terrible , but not ."
1,great idea .
0,.
1,"payne created an amazing canvas , and nicholson proves once again that he is an excellent paintbrush ."
0,for the most restless young audience he deserves the dignity of a heroic action hero who is not limited to the possibility of franchise .
0,a silly fool
1,a great chance to be big .
1,wise enough to realize that there are only a few things that are more complex and more fragile in the world than luck .
1,masterpeice !
0,the bitter taste . . .
1,a lot better !
1,but overall you 're going to love the film .
0,"in the main plot , which is riddled with mistakes and populated by characters who are almost impossible to be interested in ."
1,the film provides a pleasingly disturbing insight into the dark corners of our nation 's psyche .
1,buy 's an accomplished actress .
0,with too much simplistic information to keep interest
1,the most beautiful and talented artists .
0,in a hurry
1,no reliance on forced air compared to petter næss 's delicate and clever direction and wonderful imaginative screenplay axel hellstenius .
1,thanks to the king 's presence .
1,a surreal pain in mortal awareness .
1,"unexplored options for a story about drunken love '' could have been a minimalist goal for the creator , but this is an interesting job by talented screenwriter anderson ."
1,the end of the film will be sworn to be wet and feel the sand in the next place .
1,economic> economic . . .
1,strong and not boring .
0,with the luckiest viewers sitting next to the ignorant
0,without much it 's not enough .
1,perfect balance !
0,the factor of ridicule
1,thriller 'best friend ' .
0,in a barbershop that 's not funny
1,spider invasion comedy .
0,"for a long time , slow and bleak"
0,unlike the mess in the video game . . .
0,"like a really mixed bag , punctuated by sharp writing and a lot of laziness . . ."
1,inspiration .
1,witty dialogue and inventive moments .
1,job creation animation .
1,a bit of comedy bliss .
1,fluid and fascinating sequence .
1,proud of his name .
0,although the result of this new idea is a bit of a waste
1,the celebrated culture of india .
0,"in 2002 , the film is not very good , and the mood is broken by absurdly inappropriate scenes of comedy ."
1,the work of establishing time and place and telling fascinating stories of the characters is well done .
0,after 30 seconds of the plot
1,the power and grace of one of the world 's most famous modern athletes ca n't be overlooked .
1,better .
1,an interesting story .
1,an amazing design .
0,with a desire to leave the theater . . .
0,with all its complexity and real human behaviour in a hospital episode
0,in a bad fit
0,a pushy and high decibels
1,diverse !
0,the fatal attraction of a reigger in high school .
1,great intelligence .
0,a horror movie
1,no funny accent .
1,fun popcorn cinema .
1,campbell scott finds an appropriate way to express himself in roger swanson 's role .
1,uniqueness . . . uniqueness .
1,interesting and thorough .
1,"shyamalan reimagines the genre of an empty head and fills it with spirit , purpose , and emotionally battered characters that are more than just about the number of bodies ."
0,at times it seems quite incredible
0,with these monologues going on
1,an excellent wildean actor .
1,no disappointment .
1,friendship .
1,the human face of vietnam 's thousands of traitors .
1,"derrida 's description of his theories and influence is utterly useless , as an image of an infinitely inquisitive old man whose eternal curiosity is priceless ."
1,virtuoso singing of the throat .
1,recognize . . . please .
1,humanity 's unique nature .
1,"any painful twist , an unexpected burst of black humor ."
1,the best ferrara movie .
0,without an event
1,you 're telling me why cartoons are an ideal medium for kids because they allow their minds to enter and accept a different world .
0,about the plot ( which includes one great idea ) and the film 's inevitable sleaziness . . .
1,"an artist 's work , an artist whose insight into america 's past and awkwardness of human lives is generous and profound ."
0,with its unlikable nature and self conscious sense of its eccentric hipness
1,a menacing mood and tension .
0,in almost unbearable
1,"a compassionate portrayal of warm , wit and interesting characters ."
1,loved ones .
0,like an unusually unflashy girl
0,from the beginning to the end . . .
1,beauty !
0,"with an intellectual and emotional track record , which is a great step backward for the director i admire ."
0,a household tension and depression
1,great talent .
0,in the meantime the film continued
0,"in a reasonable mind , such a degree of leniency can only be achieved ."
0,"a bad run in the market and expensive divorces , for there 's no earthly reason other than money for such a distinguished actor to stoop so low ."
1,the director must be careful .
1,"surprising highs , painful lows and hidden combustible niches ."
0,the only way for michael myersa to be killed is to stop buying tickets to the cinema .
0,as a modicum of a personality called benigni . . .
0,in a department that was essentially extended after the end of the campaign . . .
1,make it charming !
0,of his incompetence
1,a year of great adventures .
1,both beautiful landscapes and people .
1,absolutely no irony .
0,in spite of everything . . .
1,"thirties making films about their lives , full of self deprecating narcissism is a good thing , but what world would we live in if argentina 's hollywood counterparts had so much imagination and courage ?"
1,a stylish film that can visualize schizophrenia while still being able to take a careful look at a sick man with a healthy eye .
1,"few films have captured the chaos of the city as much as this one , and viewers will be shaken by the way cooper looks when he stops shooting ."
1,laugh a few times .
1,unique job .
1,a great summer distraction .
1,many aspire to something that none of them can .
0,"after a retrial , hobbled by half prepared scenarios and slow pace ."
0,without a sufficient distance from the leroy . . .
0,without a lot of involvements
1,"simpler , narrower ."
0,the absurd extremes . . .
1,a poignant comedy that gives us a reason to think .
1,a message consistent with the views of the company in its previous video work .
0,the pretense of art house .
0,"because both of them are just twisted complexes , marked by childish naivety and a couple of eccentricities ."
0,with a look at his watch and realization that he 's not even halfway through the service . . .
1,"complex and quirky , but utterly believable ."
0,in a potentially banal and overused term
1,"a man who is often using war as a tool , much more often than war itself , to create images that fill galleries of art ."
1,message without hitting an audience in the head .
1,closed !
1,a fierce and violent film with strong momentum .
1,a struggle for a better life than theirs .
0,useless
1,his cast gives him the option of giving a full length performance while showing how beauty and strength of an opera depends primarily on music .
0,in half step
1,"the portrayal of young brendan 's usual intelligence and subtlety , not to mention an eloquent rhetorical tone ."
1,elaborate construction .
1,an incredibly important film .
1,sensitivity .
1,survival a heart wrenching sense of psychological horror .
0,a master of disguise !
1,fun and eventually .
0,the tricks
1,the barbershop is tuned into the neighborhood .
1,wholesome and subversive at the same time .
0,in error
1,offers more appeal than being an ordinary car with sandra bullock or classic romantic comedies .
1,a liquid mixture .
0,in a drought
1,beautiful verisimilitude .
1,"a simple , if not timeless , like mike throws up a couple of worthwhile themes and delivers a healthy fantasy for kids ."
1,beautiful work .
0,"the last minute , random theatrical release"
0,with placers looking for wise observations and blank pages
1,a touching and sophisticated film that is almost as documentary as it is capturing an italian family of immigrants on the brink of a major change .
1,masterful british actor lan holm .
1,above superficiality .
1,interesting .
0,in the role of schticky chris rock and a stolid anthony hopkin that seems to be one big movie .
0,a pointless collection
1,nothing 's going to change the love for this favorite moral .
0,in great danger
1,an actress who works as well as she does because they 're such a nice pair .
0,a virtually uncharted meanderings
1,the screen stays on the screen .
0,'s boring '
1,"captures all this desire , pain and desire , a confusing sexual message , and a desire for an unfamiliar adult world ."
1,likely to be convincing .
0,from cheap to cheap
1,the status of the myth in contemporary culture .
1,great fear .
0,without the clichettes left unsaid
1,dizzying sexual excitement .
0,in my most famous disappointments
0,the convincing
1,some nice ideas .
0,in extreme cases when it 's not just offensive
0,"for more information , see 'simone 'and consider renting a dvd ."
1,delivers roughly the same amount of beautiful movements and internal information .
1,tasty !
1,a show of small town competition .
1,an amazing role .
0,unlike the mothers and daughters of this movie who are so self centered . . .
1,pure composition and shape .
1,"the actors are friendly and devoted , and a comedy that is often accompanied by a chorus ."
0,in trouble and . . .
0,for a movie that 's not worth the cost of tickets
0,a lifetime of non reproducible life
0,the fact that he refuses to assess his job . . .
1,one of his boldest and most complex performances .
1,cannes festivities offer a rare insight into how relationships work .
0,a mishap that tunney fails to save
1,vivid characters !
1,look at them again .
0,in the event of a change to the script
1,finely tuned mood .
0,"with self evident flashy camera effects , rhythmic house music"
1,a little drama with great pleasure from portuguese master manuel de olivier .
0,"like one of those cheeky , contrived sequels that do n't only fail themselves , but they make you doubt your love for the original ."
1,finish the story .
0,"with the assumption that not only is subtlety not going to catch the target audience , but the fool does n't realise he 's seen the same film a hundred times . . ."
0,"the brooding personalities who paraded around as if they were returning from the camp of heroes , who were blinded by their own pompous self examination ."
1,part of it .
0,overreacting . . .
1,sterling !
1,an inner story .
0,with an audience in the future that will not be worth much . . .
0,uneasily
0,"in swimfan , the characters seem to be motivated only by a dull , mindless hangover ."
1,backbone !
1,hook !
1,suck your audience !
1,strange moves even the most elusive and most hackneyed equipment .
1,a more shrill voice than mr . spielberg 's 1993 masterpiece .
1,solid scary fun worth the price .
1,a brave scotch woman .
0,like no one 's invited to your party
0,"the loyalty of chekhov , which director michael cacoyannis shows somberly earnestly in his new adaptation of cherries , is an extremely worrying handicap ."
1,spicy thriller .
1,a movie that breaks your heart .
0,for one reason the film is so underwhelming .
0,the stunningly original premise
1,a hell of a suspense movie .
0,with fatigue
1,you will remember this refreshing visit to the sunshine .
0,"despite being incredibly stupid , but sometimes entertaining enough . . ."
0,as the director of resonant and sense running lola run proved to be a one handed pony .
1,proof that he 's more streamlined .
1,remarkable calm and discipline .
1,nearly impossible .
1,an outrageously creative move on the transporter .
0,a lot of syrup
0,a critical backlash . . .
0,like ( if possible ) pasolini 's movie without passion and politics . . .
0,after a long and boring course of history courses .
1,inspiration .
1,"the film 's heart dwells on ageing , suffering , and the prospect of dying ."
0,about boring songs . . .
0,like a volcano or overflowing sewage . . .
0,for a while i was n't warm up . . .
1,no end zone .
1,characters in the film .
0,"a staged version of 'baby rosemary ' , but it does n't look as good as the two films ."
1,above expectations .
1,inventiveness !
0,"for such an unremarkable tale of love , lust and sin , i could not keep an eye on it ."
1,open mr reggio 's theory of using these images as a backdrop to the film .
1,sit in front of some first class performances .
1,amazing action !
1,director hoffman and kevin kline give us a final look at the world 's best known teacher .
0,the hostage ''
1,visual beauty .
1,"thought provoking and elegant , though a bit hermetic ."
1,the new version .
1,admiration and admiration for his extraordinary intelligence and originality .
0,a bit of an insult to both sexes .
1,wall !
0,"despite the great production values and the constant pacing of director roger michell , the final result is as if two guys had been screaming in front of you for two hours ."
0,in crush 's absurd obsession with obfuscation of the problems he raises .
1,a strange and wonderful movie !
0,for so much boring and obvious
0,a tough action comedy
0,"all of this visual trickery is going to stop being smart and turn into a shiny , slightly silly exaggeration ."
1,funny fanatics !
1,an amazing film .
1,love the beauty you see .
0,for better evenings in the house than in the cinema
0,just one episode
1,the body .
